https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1732060800,2024-11-20 00:00:00,BAT/USD,0.21197,0.21342,0.20806,0.20839,8379.46144454,1746.1959704276906
1731974400,2024-11-19 00:00:00,BAT/USD,0.22338,0.22338,0.20820,0.21215,55806.87317864,11839.428144848476
1731888000,2024-11-18 00:00:00,BAT/USD,0.20420,0.22556,0.20420,0.22169,22521.06513843,4992.694930538547
1731801600,2024-11-17 00:00:00,BAT/USD,0.21636,0.21636,0.20261,0.20261,1173.09058670,237.679883771287
1731715200,2024-11-16 00:00:00,BAT/USD,0.19238,0.21600,0.18354,0.21600,46334.70918894,10008.297184811041
1731628800,2024-11-15 00:00:00,BAT/USD,0.18212,0.19228,0.17651,0.19054,9844.39930399,1875.7518433822545
1731542400,2024-11-14 00:00:00,BAT/USD,0.18635,0.19038,0.17794,0.18398,11891.50906457,2187.799837699589
1731456000,2024-11-13 00:00:00,BAT/USD,0.19146,0.19264,0.18368,0.18650,14282.78756086,2663.73988010039
1731369600,2024-11-12 00:00:00,BAT/USD,0.17690,0.20128,0.17515,0.19146,49992.22734318,9571.511847125243
1731283200,2024-11-11 00:00:00,BAT/USD,0.18701,0.19383,0.18506,0.19383,7638.04548249,1480.4823558710366
1731196800,2024-11-10 00:00:00,BAT/USD,0.17595,0.18673,0.17594,0.18673,5078.31575067,948.2739001226091
1731110400,2024-11-09 00:00:00,BAT/USD,0.17429,0.17429,0.17429,0.17429,263.13516982,45.861828747927795
1731024000,2024-11-08 00:00:00,BAT/USD,0.16758,0.16758,0.15743,0.15743,7508.33184194,1182.0366818766142
1730937600,2024-11-07 00:00:00,BAT/USD,0.17094,0.17165,0.17094,0.17165,8183.01735260,1404.61492857379
1730851200,2024-11-06 00:00:00,BAT/USD,0.15792,0.16981,0.15792,0.16758,11923.10861499,1998.0745417000244
1730764800,2024-11-05 00:00:00,BAT/USD,0.15515,0.15698,0.15515,0.15614,6679.70712376,1042.9694703038865
1730678400,2024-11-04 00:00:00,BAT/USD,0.15101,0.15151,0.14868,0.14868,918.72829452,136.5965228292336
1730592000,2024-11-03 00:00:00,BAT/USD,0.15359,0.15359,0.14660,0.15097,9014.83484569,1360.9696166538192
1730505600,2024-11-02 00:00:00,BAT/USD,0.15515,0.15515,0.15515,0.15515,580.08378988,89.99999999988201
