https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USD
1736380800,2025-01-09 00:00:00,ZRX/USD,0.50094,0.53151,0.46953,0.48066,14467.21368878,6953.8109316489945
1736294400,2025-01-08 00:00:00,ZRX/USD,0.48339,0.50005,0.46031,0.50002,24930.29924446,12465.648228214888
1736208000,2025-01-07 00:00:00,ZRX/USD,0.54236,0.54535,0.48010,0.48010,4943.39497637,2373.3239281552374
1736121600,2025-01-06 00:00:00,ZRX/USD,0.53723,0.56666,0.52755,0.54187,3377.67990215,1830.2634085780205
1736035200,2025-01-05 00:00:00,ZRX/USD,0.53390,0.53660,0.52665,0.52665,11255.65281375,5927.789554361438
1735948800,2025-01-04 00:00:00,ZRX/USD,0.52157,0.55238,0.51892,0.53285,55376.61734043,29507.430549848126
1735862400,2025-01-03 00:00:00,ZRX/USD,0.49203,0.53256,0.48227,0.52496,44409.84243781,23313.390886152738
1735776000,2025-01-02 00:00:00,ZRX/USD,0.47740,0.49990,0.47547,0.49031,27394.20802157,13431.654135055987
1735689600,2025-01-01 00:00:00,ZRX/USD,0.46610,0.47540,0.45119,0.47540,1167.32968394,554.948531745076
1735603200,2024-12-31 00:00:00,ZRX/USD,0.45136,0.47231,0.45135,0.45601,12567.40286790,5730.861381791079
1735516800,2024-12-30 00:00:00,ZRX/USD,0.46430,0.47853,0.44600,0.46269,27505.32038988,12726.436691193576
1735430400,2024-12-29 00:00:00,ZRX/USD,0.48183,0.48183,0.46790,0.46902,13661.53241479,6407.531933184805
1735344000,2024-12-28 00:00:00,ZRX/USD,0.47384,0.49762,0.47383,0.48782,5797.52851511,2828.15036024096
1735257600,2024-12-27 00:00:00,ZRX/USD,0.46171,0.48298,0.45822,0.47387,3481.36109860,1649.712583793582
1735171200,2024-12-26 00:00:00,ZRX/USD,0.50377,0.50378,0.45979,0.46311,17657.33267191,8177.28733368824
1735084800,2024-12-25 00:00:00,ZRX/USD,0.50826,0.57723,0.50250,0.50250,39949.19137584,20074.468666359597
1734998400,2024-12-24 00:00:00,ZRX/USD,0.47499,0.52138,0.46500,0.50863,22472.78624698,11430.333268801438
1734912000,2024-12-23 00:00:00,ZRX/USD,0.45281,0.48803,0.44122,0.48474,130632.68222729,63322.88638285656
1734825600,2024-12-22 00:00:00,ZRX/USD,0.45187,0.46293,0.44206,0.45346,8250.69474715,3741.360040042639
1734739200,2024-12-21 00:00:00,ZRX/USD,0.48053,0.50443,0.45616,0.45616,50482.78777983,23028.228473647254
1734652800,2024-12-20 00:00:00,ZRX/USD,0.45382,0.47877,0.40649,0.47793,245370.87847687,117270.10395045049
1734566400,2024-12-19 00:00:00,ZRX/USD,0.49760,0.50732,0.44256,0.45927,60510.08751853,27790.467894635276
1734480000,2024-12-18 00:00:00,ZRX/USD,0.55846,0.57279,0.49911,0.49912,20955.43878799,10459.278607861568
1734393600,2024-12-17 00:00:00,ZRX/USD,0.58939,0.59621,0.56695,0.58499,8979.61875041,5252.987172802346
1734307200,2024-12-16 00:00:00,ZRX/USD,0.62839,0.62839,0.58837,0.59383,25365.48329881,15062.78494733234
1734220800,2024-12-15 00:00:00,ZRX/USD,0.60050,0.62689,0.59768,0.62685,12652.84995288,7931.438992962829
1734134400,2024-12-14 00:00:00,ZRX/USD,0.65548,0.65548,0.60947,0.60947,17944.88235448,10936.867448584924
1734048000,2024-12-13 00:00:00,ZRX/USD,0.61876,0.67250,0.61876,0.65548,61456.62172805,40283.58641030221
1733961600,2024-12-12 00:00:00,ZRX/USD,0.63434,0.67000,0.61983,0.64050,36878.08641130,23620.414346437647
1733875200,2024-12-11 00:00:00,ZRX/USD,0.54773,0.62846,0.54070,0.62426,14982.85512957,9353.197143185369
1733788800,2024-12-10 00:00:00,ZRX/USD,0.60916,0.62165,0.50000,0.56470,101131.06874240,57108.71451883328
1733702400,2024-12-09 00:00:00,ZRX/USD,0.76352,0.76352,0.52465,0.62097,73396.67294586,45577.131999190686
1733616000,2024-12-08 00:00:00,ZRX/USD,0.76225,0.76457,0.72984,0.76000,39335.92142032,29895.300279443203
1733529600,2024-12-07 00:00:00,ZRX/USD,0.74354,0.81689,0.73466,0.76490,319817.72267217,244628.57607194287
1733443200,2024-12-06 00:00:00,ZRX/USD,0.64058,0.91520,0.64058,0.74882,625076.29178409,468069.6288137623
1733356800,2024-12-05 00:00:00,ZRX/USD,0.64826,0.69198,0.62916,0.63941,32848.88097137,21003.902981903695
1733270400,2024-12-04 00:00:00,ZRX/USD,0.66793,0.69205,0.64426,0.67011,112539.93434861,75414.13540634705
1733184000,2024-12-03 00:00:00,ZRX/USD,0.61609,0.68718,0.57817,0.65125,157704.11467370,102704.80468124713
1733097600,2024-12-02 00:00:00,ZRX/USD,0.59372,0.64999,0.52002,0.61986,87941.54086772,54511.44352226492
1733011200,2024-12-01 00:00:00,ZRX/USD,0.59776,0.61985,0.57210,0.58545,69931.40978176,40941.34385673139
1732924800,2024-11-30 00:00:00,ZRX/USD,0.57016,0.59308,0.55389,0.58537,22912.91850476,13412.535105131361
1732838400,2024-11-29 00:00:00,ZRX/USD,0.54562,0.57819,0.54165,0.57278,39152.34162988,22425.678238762666
1732752000,2024-11-28 00:00:00,ZRX/USD,0.57218,0.57218,0.53994,0.54831,124795.42238100,68426.5780457261
1732665600,2024-11-27 00:00:00,ZRX/USD,0.60844,0.61202,0.52786,0.57085,159150.48803295,90851.0560936095
1732579200,2024-11-26 00:00:00,ZRX/USD,0.47393,0.62260,0.47393,0.62260,140271.35241878,87332.94401593244
1732492800,2024-11-25 00:00:00,ZRX/USD,0.50880,0.51106,0.45539,0.46891,70233.24824428,32933.07243422533
1732406400,2024-11-24 00:00:00,ZRX/USD,0.47301,0.52451,0.45394,0.51216,87073.47397671,44595.55043191179
1732320000,2024-11-23 00:00:00,ZRX/USD,0.45084,0.48205,0.40000,0.46748,296591.00065694,138650.3609871063
