https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1672272000,2022-12-29 00:00:00,MATIC/USD,0.77227,0.78486,0.76909,0.77600,218803.40417023,169791.4416360985
1672185600,2022-12-28 00:00:00,MATIC/USD,0.80702,0.80702,0.77432,0.78206,220337.33656595,172317.01743476687
1672099200,2022-12-27 00:00:00,MATIC/USD,0.81747,0.81793,0.79919,0.80370,164423.99468379,132147.564527362
1672012800,2022-12-26 00:00:00,MATIC/USD,0.79334,0.81510,0.79324,0.81194,112202.96239821,91102.07328960263
1671926400,2022-12-25 00:00:00,MATIC/USD,0.79689,0.79778,0.78669,0.79218,59242.61756879,46930.81678564406
1671840000,2022-12-24 00:00:00,MATIC/USD,0.79951,0.80015,0.79440,0.79675,88069.15718824,70169.10098973021
1671753600,2022-12-23 00:00:00,MATIC/USD,0.79471,0.80406,0.79382,0.79915,99683.25855680,79661.87607566673
1671667200,2022-12-22 00:00:00,MATIC/USD,0.79378,0.79690,0.77334,0.79237,261536.87173667,207233.9710579852
1671580800,2022-12-21 00:00:00,MATIC/USD,0.79871,0.80348,0.78722,0.79440,231437.62236828,183854.04720936163
1671494400,2022-12-20 00:00:00,MATIC/USD,0.77734,0.80680,0.77734,0.80291,147813.44781754,118680.89538718104
1671408000,2022-12-19 00:00:00,MATIC/USD,0.80947,0.80947,0.75751,0.77257,571037.20987998,441166.2172369761
1671321600,2022-12-18 00:00:00,MATIC/USD,0.81301,0.82564,0.80607,0.81210,147042.53090518,119413.23934809669
1671235200,2022-12-17 00:00:00,MATIC/USD,0.80009,0.81590,0.78274,0.81590,214897.85084645,175335.15650561854
1671148800,2022-12-16 00:00:00,MATIC/USD,0.87744,0.89051,0.78651,0.79699,530977.66280754,423183.8874809813
1671062400,2022-12-15 00:00:00,MATIC/USD,0.90273,0.90627,0.87322,0.87840,329793.21852798,289690.3631549776
1670976000,2022-12-14 00:00:00,MATIC/USD,0.92173,0.93645,0.89718,0.90287,615551.18545904,555762.6988154034
1670889600,2022-12-13 00:00:00,MATIC/USD,0.90324,0.94073,0.88105,0.91892,684698.30326431,629182.9648356397
1670803200,2022-12-12 00:00:00,MATIC/USD,0.89036,0.91290,0.87134,0.91000,315294.51446170,286918.008160147
1670716800,2022-12-11 00:00:00,MATIC/USD,0.90671,0.91399,0.89011,0.89231,194495.53601268,173550.3117394745
1670630400,2022-12-10 00:00:00,MATIC/USD,0.90981,0.91600,0.90259,0.90611,107238.63170698,97169.99657601165
1670544000,2022-12-09 00:00:00,MATIC/USD,0.92972,0.93237,0.90824,0.90856,157054.93009006,142693.8272826249
1670457600,2022-12-08 00:00:00,MATIC/USD,0.89691,0.93000,0.88775,0.92790,274162.22951129,254395.13276352597
1670371200,2022-12-07 00:00:00,MATIC/USD,0.91705,0.91705,0.87502,0.89572,619742.74432029,555115.9709425701
1670284800,2022-12-06 00:00:00,MATIC/USD,0.91276,0.91997,0.89681,0.91706,286844.64284362,263053.74816617015
1670198400,2022-12-05 00:00:00,MATIC/USD,0.91972,0.94390,0.90076,0.90667,148615.23710743,134744.97702819356
1670112000,2022-12-04 00:00:00,MATIC/USD,0.90336,0.92253,0.90336,0.92034,111503.53372884,102621.16223200061
1670025600,2022-12-03 00:00:00,MATIC/USD,0.94987,0.94987,0.90000,0.90269,88209.62539123,79625.9467444094
1669939200,2022-12-02 00:00:00,MATIC/USD,0.91012,0.94187,0.90000,0.94187,208300.41628810,196191.91308927274
1669852800,2022-12-01 00:00:00,MATIC/USD,0.93271,0.94306,0.90722,0.90748,209409.70982064,190035.12346803438
1669766400,2022-11-30 00:00:00,MATIC/USD,0.83993,0.94225,0.83952,0.94175,386798.26398714,364267.26510988903
1669680000,2022-11-29 00:00:00,MATIC/USD,0.81698,0.84376,0.81698,0.83870,68090.72969460,57107.69499486102
1669593600,2022-11-28 00:00:00,MATIC/USD,0.84364,0.84364,0.80500,0.82228,236499.34661695,194468.68273618564
1669507200,2022-11-27 00:00:00,MATIC/USD,0.84299,0.86410,0.84296,0.84463,111837.16612799,94461.02562668419
1669420800,2022-11-26 00:00:00,MATIC/USD,0.84271,0.87000,0.84105,0.84676,179277.72191325,151805.20380726355
1669334400,2022-11-25 00:00:00,MATIC/USD,0.84011,0.84817,0.82105,0.84237,88067.62139230,74185.52223223174
1669248000,2022-11-24 00:00:00,MATIC/USD,0.86454,0.88527,0.84341,0.84869,40448.08631092,34327.8863712147
1669161600,2022-11-23 00:00:00,MATIC/USD,0.84777,0.86948,0.83713,0.85811,114207.17133567,98002.31579485179
1669075200,2022-11-22 00:00:00,MATIC/USD,0.80400,0.86028,0.77879,0.84914,198730.70424522,168750.19020278612
1668988800,2022-11-21 00:00:00,MATIC/USD,0.80223,0.81968,0.76623,0.79629,378382.03694248,301301.83219692745
1668902400,2022-11-20 00:00:00,MATIC/USD,0.87464,0.87846,0.79741,0.80685,351061.15529021,283253.6931459059
1668816000,2022-11-19 00:00:00,MATIC/USD,0.87960,0.88143,0.85000,0.87413,190720.42017981,166714.4408917773
1668729600,2022-11-18 00:00:00,MATIC/USD,0.87910,0.89863,0.86772,0.87528,235263.48745201,205921.42529699532
1668643200,2022-11-17 00:00:00,MATIC/USD,0.89794,0.90940,0.86300,0.87513,1206455.67919694,1055805.558535618
1668556800,2022-11-16 00:00:00,MATIC/USD,0.94016,0.95472,0.88149,0.89980,576913.68494712,519106.9337154186
1668470400,2022-11-15 00:00:00,MATIC/USD,0.92094,0.96770,0.90789,0.93729,371672.13837976,348364.57858196524
1668384000,2022-11-14 00:00:00,MATIC/USD,0.89120,0.96096,0.83440,0.91522,1031959.24398894,944469.7392835577
1668297600,2022-11-13 00:00:00,MATIC/USD,0.95339,0.96410,0.86591,0.88488,429719.27013981,380249.9877613151
1668211200,2022-11-12 00:00:00,MATIC/USD,1.06000,1.06000,0.92634,0.92700,321774.60871305,298285.06227699737
1668124800,2022-11-11 00:00:00,MATIC/USD,1.13304,1.15200,0.97144,1.06294,490796.42187069,521687.14866323123
1668038400,2022-11-10 00:00:00,MATIC/USD,0.81557,1.16971,0.80949,1.12336,3563694.77659414,4003312.164234793
1667952000,2022-11-09 00:00:00,MATIC/USD,1.03470,1.07000,0.76300,0.81552,1141380.06682070,930818.2720936172
1667865600,2022-11-08 00:00:00,MATIC/USD,1.25592,1.27157,0.90348,1.04255,1792706.09774409,1868985.7422031013
1667779200,2022-11-07 00:00:00,MATIC/USD,1.13202,1.29000,1.12936,1.25653,661209.67711690,830829.7955876982
1667692800,2022-11-06 00:00:00,MATIC/USD,1.18829,1.21057,1.13551,1.13988,169631.70685707,193359.79001223695
1667606400,2022-11-05 00:00:00,MATIC/USD,1.19130,1.30000,1.15933,1.18432,314277.11927218,372204.6778964283
1667520000,2022-11-04 00:00:00,MATIC/USD,0.95429,1.19546,0.95429,1.16667,1488961.29847721,1737126.478094407
1667433600,2022-11-03 00:00:00,MATIC/USD,0.86984,0.98064,0.86984,0.94873,437864.41752357,415415.10883713653
1667347200,2022-11-02 00:00:00,MATIC/USD,0.87111,0.89073,0.83754,0.86984,627326.94349877,545674.06853297
1667260800,2022-11-01 00:00:00,MATIC/USD,0.90229,0.90856,0.87697,0.87700,63246.48593947,55467.168168915196
1667174400,2022-10-31 00:00:00,MATIC/USD,0.91476,0.92702,0.89385,0.90505,105048.98774102,95074.58635501015
1667088000,2022-10-30 00:00:00,MATIC/USD,0.92666,0.93731,0.90236,0.90905,30199.73096136,27453.06543042431
1667001600,2022-10-29 00:00:00,MATIC/USD,0.94001,0.95390,0.92765,0.93839,132406.40744065,124248.84867823153
1666915200,2022-10-28 00:00:00,MATIC/USD,0.90587,0.94311,0.89956,0.94267,35859.04913338,33803.249846563325
1666828800,2022-10-27 00:00:00,MATIC/USD,0.94557,0.94557,0.89967,0.90333,135304.17773653,122224.32287473964
1666742400,2022-10-26 00:00:00,MATIC/USD,0.92634,0.96481,0.92053,0.93974,464237.24703575,436262.31052937574
1666656000,2022-10-25 00:00:00,MATIC/USD,0.88645,0.94114,0.87609,0.92017,165195.91067540,152008.32112618283
1666569600,2022-10-24 00:00:00,MATIC/USD,0.90369,0.90558,0.87541,0.89376,39499.78180773,35303.324988476765
1666483200,2022-10-23 00:00:00,MATIC/USD,0.83402,0.90234,0.82174,0.90125,222714.90216338,200721.80557474622
1666396800,2022-10-22 00:00:00,MATIC/USD,0.83588,0.84000,0.81417,0.83241,59858.53512102,49826.84322008826
1666310400,2022-10-21 00:00:00,MATIC/USD,0.80977,0.83174,0.77755,0.83128,294018.87641087,244412.011582828
1666224000,2022-10-20 00:00:00,MATIC/USD,0.84140,0.84773,0.80714,0.81022,197682.90799019,160166.64571181175
1666137600,2022-10-19 00:00:00,MATIC/USD,0.86491,0.87655,0.84449,0.84449,51438.50899535,43439.30646148312
1666051200,2022-10-18 00:00:00,MATIC/USD,0.85299,0.87596,0.83823,0.86587,113781.16917710,98519.70095537558
1665964800,2022-10-17 00:00:00,MATIC/USD,0.80156,0.84963,0.79930,0.84963,93967.53206362,79837.63426721346
1665878400,2022-10-16 00:00:00,MATIC/USD,0.78905,0.80897,0.78905,0.79942,19680.87635936,15733.286179199573
1665792000,2022-10-15 00:00:00,MATIC/USD,0.79486,0.80866,0.78695,0.79223,29662.07839230,23499.188364731832
1665705600,2022-10-14 00:00:00,MATIC/USD,0.77714,0.81965,0.77636,0.79020,194742.00445270,153885.13191852355
1665619200,2022-10-13 00:00:00,MATIC/USD,0.77900,0.78408,0.71778,0.77648,170738.93794664,132575.37053680702
1665532800,2022-10-12 00:00:00,MATIC/USD,0.79280,0.80106,0.78427,0.78674,44979.17750591,35386.91811099963
1665446400,2022-10-11 00:00:00,MATIC/USD,0.81127,0.81174,0.78533,0.79051,96140.82558838,76000.28403587028
1665360000,2022-10-10 00:00:00,MATIC/USD,0.82525,0.84180,0.81280,0.81327,139420.08940281,113386.1761086233
1665273600,2022-10-09 00:00:00,MATIC/USD,0.81327,0.82979,0.80843,0.82587,20941.92484142,17295.307468783536
1665187200,2022-10-08 00:00:00,MATIC/USD,0.82901,0.83369,0.81094,0.81261,54591.56279407,44361.649842089224
1665100800,2022-10-07 00:00:00,MATIC/USD,0.83327,0.84803,0.81859,0.83068,161776.95569197,134384.88155420564
1665014400,2022-10-06 00:00:00,MATIC/USD,0.85723,0.85723,0.83251,0.83421,84609.80339544,70582.34409051
